Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","076","Brazil","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","31.43961","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","32.37901","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","35.57341","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","43.04453","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","45.68777","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","47.40702","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","48.02753","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","48.97497","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","54.61568","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","60.22798","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","62.37157","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","68.87089","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","73.60609","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","81.77144","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","87.70346","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","95.34819","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","107.6397","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","114.7018","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","112.9966","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","117.7379","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","124.595166","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","143.116069","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","31.36101","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","32.3952","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","35.64444","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","43.56966","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","45.75632","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","47.63926","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","47.89292","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","49.35693","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","54.94329","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","60.39054","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","62.9702","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","69.02917","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","73.74588","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","82.95721","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","88.19454","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","96.12044","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","108.7806","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","114.1857","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","112.6236","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","118.6562","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","124.724682","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","143.504619","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","31.21675","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","32.77422","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","35.78356","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","44.29276","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","45.95293","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","47.76327","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","47.77815","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","49.84057","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","55.43235","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","60.57183","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","63.94629","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","69.54708","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","076","Brazil","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","73.93032","X","International reliable sources","base year is 2015"
