Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","195714","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","197515","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","199287","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","201036","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2014","2014","1000 persons","202764","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2015","2015","1000 persons","204472","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","206163","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","207834","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","209469","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","211050","*","Unofficial figure"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2511","Wheat and products","2010","2010","1000 tonnes","6175","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","5693","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2511","Wheat and products","2012","2012","1000 tonnes","4421","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2511","Wheat and products","2013","2013","1000 tonnes","5741","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2511","Wheat and products","2014","2014","1000 tonnes","6265","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2511","Wheat and products","2015","2015","1000 tonnes","5511","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2511","Wheat and products","2016","2016","1000 tonnes","6838","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","4345","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2511","Wheat and products","2018","2018","1000 tonnes","5473","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5511","Production","2511","Wheat and products","2019","2019","1000 tonnes","5607","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5611","Import Quantity","2511","Wheat and products","2010","2010","1000 tonnes","7271","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5611","Import Quantity","2511","Wheat and products","2011","2011","1000 tonnes","6791","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5611","Import Quantity","2511","Wheat and products","2012","2012","1000 tonnes","7549","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5611","Import Quantity","2511","Wheat and products","2013","2013","1000 tonnes","7632","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5611","Import Quantity","2511","Wheat and products","2014","2014","1000 tonnes","6220","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5611","Import Quantity","2511","Wheat and products","2015","2015","1000 tonnes","5680","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5611","Import Quantity","2511","Wheat and products","2016","2016","1000 tonnes","7451","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5611","Import Quantity","2511","Wheat and products","2017","2017","1000 tonnes","6682","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","21","Brazil","5611","Import Quantity","2511","Wheat and products","2018","2018","1000 tonnes","7375","Im","FAO data based on imputation methodology"
