Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","49695","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","58349","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","67004","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","75658","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","84313","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","92967","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","101622","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","110276","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","118931","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","127585","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","140423","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","151523","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","145552","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","182446","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","214725","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","232232","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","238716","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","304031","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","312637","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","335742","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","342580","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","345026","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","346583","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","367778","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","352336","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","395646","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","377176","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","377176","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","377176","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","377176","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","1990","1990","tonnes","18388","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","1991","1991","tonnes","19557","F","FAO estimate"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","1992","1992","tonnes","20726","F","FAO estimate"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","1993","1993","tonnes","21894","F","FAO estimate"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","1994","1994","tonnes","23063","F","FAO estimate"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","1995","1995","tonnes","24232","F","FAO estimate"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","1996","1996","tonnes","25401","F","FAO estimate"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","1997","1997","tonnes","26569","F","FAO estimate"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","1998","1998","tonnes","27738","F","FAO estimate"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","1999","1999","tonnes","28907","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2000","2000","tonnes","28382","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2001","2001","tonnes","29799","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2002","2002","tonnes","29208","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
