Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","19992001","1999-2001","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2000","2000","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","%","122","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2001","2001","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","%","125","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2002","2002","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","%","127","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2003","2003","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","%","129","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2004","2004","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","%","128","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2005","2005","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","%","128","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2006","2006","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062007","2006-2007","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","%","129","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2007","2007","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072008","2007-2008","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","%","130","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2008","2008","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082009","2008-2009","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","%","131","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","2009","2009","","","","",""
"FS","Suite of Food Security Indicators","21","Brazil","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092010","2009-2010","","","","",""
